latitude,longitude,yield,Carbon (0-15 cm),Carbon (15-30 cm),Clay (0-15 cm),Clay (15-30 cm),Clay (30-60 cm),Clay (60-90 cm),Clay (90-120 cm),Sand (0-15 cm),Sand (15-30 cm),Sand (30-60 cm),Sand (60-90 cm),Sand (90-120 cm),Silt (0-15 cm),Silt (15-30 cm),Silt (30-60 cm),Silt (60-90 cm),Silt (90-120 cm),OM (0-15 cm),OM (15-30 cm),pH (0-15 cm),pH (15-30 cm),Elevation,Aspect,Curvature,Slope,TPI,Nitrogen,Phosphorous,ETa_Oct,ETa_Nov,ETa_Dec,ETa_Jan,ETa_Feb,ETa_Mar,ETa_Apr,SM 30 cm Oct,SM 30 cm Nov,SM 30 cm Dec,SM 30 cm Jan,SM 30 cm Feb,SM 30 cm Mar,SM 30 cm Apr,SM 30 cm growing,SM 60 cm Oct,SM 60 cm Nov,SM 60 cm Dec,SM 60 cm Jan,SM 60 cm Feb,SM 60 cm Mar,SM 60 cm Apr,SM 60 cm growing,SM 90 cm Oct,SM 90 cm Nov,SM 90 cm Dec,SM 90 cm Jan,SM 90 cm Feb,SM 90 cm Mar,SM 90 cm Apr,SM 90 cm growing,SM 120 cm Oct,SM 120 cm Nov,SM 120 cm Dec,SM 120 cm Jan,SM 120 cm Feb,SM 120 cm Mar,SM 120 cm Apr,SM 120 cm growing,SM 150 cm Oct,SM 150 cm Nov,SM 150 cm Dec,SM 150 cm Jan,SM 150 cm Feb,SM 150 cm Mar,SM 150 cm Apr,SM 150 cm growing,SM 180 cm Oct,SM 180 cm Nov,SM 180 cm Dec,SM 180 cm Jan,SM 180 cm Feb,SM 180 cm Mar,SM 180 cm Apr,SM 180 cm growing,Carbon,OM,pH,ETa,Clay,Sand,Silt,SM 30 cm,SM 60 cm,SM 90 cm,SM 120 cm,SM 150 cm,SM 180 cm,Precipitation
4446811.924,659489.7026,58.370087,0.9059523,0.9645916,26.897385,33.02395,28.405144,24.689342,21.449625,44.960682,40.225506,47.55728,56.762375,61.652203,27.834444,25.79409,22.880436,18.468258,15.533439,2.088617,1.8374132,6.881209,7.997112,1379.34,325.80267,0.07910156,0.43273365,0.003295898,60,20,0.33449635,0.38361079,0.29037997,0.33859804,0.41706565,1.1910156,1.2270111,14.525703,13.574153,16.320368,19.383652,17.517525,22.525457,20.541088,17.246864,17.672121,18.077559,21.131432,20.408539,20.55434,25.425259,21.649668,20.298912,15.089407,14.524406,15.933881,14.974429,14.648935,18.419643,16.996716,15.6308365,16.14144,16.633179,15.239987,16.87553,17.998266,21.22319,20.969986,17.32416,20.541447,20.344267,18.756304,21.60711,21.832657,19.814352,19.97335,20.395166,19.914557,21.214708,19.118662,19.090855,18.633621,23.138401,20.016378,20.103933,0.935272,1.9630151,7.4391603,0.59745395,29.960667,42.593094,26.814266,17.769709,20.702703,15.7982025,17.868797,20.409925,20.161024,76.44
4446811.924,659494.7026,62.38418,0.8921713,0.9471003,26.601454,31.970667,28.316837,25.066614,21.368055,45.697834,41.902187,47.685825,56.29431,60.97107,27.313772,25.400986,23.542688,18.446651,16.736193,2.095531,1.7764434,6.9573874,8.085293,1379.35,326.31665,-0.16015625,0.4133196,-0.008911133,60,20,0.33757487,0.37583336,0.28639627,0.33612698,0.41153917,1.1840044,1.1917768,16.387608,14.182422,15.696662,18.456833,16.764324,22.5179,20.577206,17.283228,16.669056,17.226082,21.836454,20.611294,20.445507,24.032278,20.910635,19.871721,18.667048,15.145289,16.697731,15.515274,14.716372,18.189587,16.318731,16.327291,17.29335,16.713497,14.8365965,14.979197,18.633202,19.314774,22.027803,17.059587,20.846542,20.624159,19.977379,20.803394,20.82751,19.538738,21.216095,20.300573,20.716421,24.502964,24.855423,23.524046,18.382013,23.040289,21.328014,22.41563,0.9196358,1.9359872,7.5213404,0.589036,29.28606,43.80001,26.35738,17.797565,20.24733,16.46429,17.685488,20.54769,22.335596,76.44
4446811.924,659499.7026,48.412502,0.8825715,0.95443094,26.49937,31.801403,28.328531,25.108889,21.422283,46.29873,43.648815,47.927956,56.216633,61.086956,26.848312,24.982655,23.404009,18.508148,16.681524,2.1049323,1.7212023,7.028029,8.161952,1379.38,322.7694,0.040039062,0.44996598,0,60,20,0.33757487,0.37583336,0.28639627,0.33612698,0.41153917,1.1840044,1.1917768,14.6904545,12.843389,16.55976,19.049036,17.90129,21.518305,21.045277,17.061098,17.198076,18.645481,21.052683,20.364002,21.844067,24.652359,21.09553,20.280603,17.275276,16.574766,16.325024,16.299725,15.811989,18.534756,17.901499,16.732779,15.739267,15.942967,13.800836,16.131535,17.222464,18.428911,21.687798,16.381636,18.308765,20.347204,18.226131,20.68491,20.898464,19.857754,20.029802,19.534334,23.844812,24.107143,24.574045,25.201424,23.341125,24.482222,23.123861,24.119535,0.91850126,1.9130673,7.5949907,0.589036,29.150387,44.97377,25.915483,17.658216,20.693172,16.960432,16.993397,19.764719,24.096375,76.44
4446811.924,659504.7026,39.442116,0.87019986,0.93227667,26.595213,31.785864,28.408556,24.483238,21.535496,46.921165,45.267014,48.23317,56.840794,61.181255,26.271252,24.486874,23.069195,18.788445,16.636602,2.0950665,1.6848488,7.104584,8.222503,1379.4,324.84656,-0.079589844,0.47282866,-0.003295898,60,20,0.33757487,0.37583336,0.28639627,0.33612698,0.41153917,1.1840044,1.1917768,14.6904545,12.843389,16.55976,19.049036,17.90129,21.518305,21.045277,17.061098,17.198076,18.645481,21.052683,20.364002,21.844067,24.652359,21.09553,20.280603,17.275276,16.574766,16.325024,16.299725,15.811989,18.534756,17.901499,16.732779,15.739267,15.942967,13.800836,16.131535,17.222464,18.428911,21.687798,16.381636,18.308765,20.347204,18.226131,20.68491,20.898464,19.857754,20.029802,19.534334,23.844812,24.107143,24.574045,25.201424,23.341125,24.482222,23.123861,24.119535,0.90123826,1.8899577,7.6635437,0.589036,29.190538,46.09409,25.379063,17.658216,20.693172,16.960432,16.993397,19.764719,24.096375,76.44
4446811.924,659509.7026,57.745262,0.85689884,0.9431181,26.484844,31.54103,28.597193,25.243134,21.77715,47.51074,46.532032,48.649708,56.480206,61.23525,25.77045,24.010159,23.019424,18.123844,16.60879,2.0629797,1.6662457,7.099606,8.229928,1379.43,321.8251,0.041015625,0.5097799,0.001220703,60,20,0.33757487,0.37583336,0.28639627,0.33612698,0.41153917,1.1840044,1.1917768,15.586644,12.224737,16.545008,17.946285,17.06428,21.659298,20.130062,16.82091,17.675396,18.896412,21.939611,21.43177,22.403809,24.720322,21.159718,20.811823,18.615543,16.310059,16.745253,17.041636,16.149303,18.198803,17.982456,17.173088,16.890005,16.34383,14.78757,17.114147,18.573406,18.129402,21.201077,17.066244,16.62435,20.329605,18.166979,22.152187,20.02437,21.52508,20.689333,19.87576,23.992401,24.20734,23.841484,25.03564,22.951015,23.98314,23.233578,23.968311,0.90000844,1.8646127,7.6647673,0.589036,29.012938,47.021385,24.890305,17.308046,21.175291,17.291864,17.57706,19.930271,23.892088,76.44
4446811.924,659514.7026,59.787674,0.8460942,0.9348451,26.39257,31.454504,28.84893,25.300325,21.921402,48.11214,47.57321,49.14637,56.414413,61.398018,25.225756,23.614185,22.80235,18.149473,16.691044,2.0155518,1.6684276,7.1019006,8.223536,1379.46,319.09094,0.0390625,0.5684411,0.001098633,60,20,0.33757487,0.37583336,0.28639627,0.33612698,0.41153917,1.1840044,1.1917768,16.84904,14.690155,16.019007,18.844868,17.702223,22.328802,19.90078,17.646566,17.35317,19.300968,21.61132,21.103024,19.1515,24.917236,21.191505,20.39865,18.24092,20.112125,16.26,17.728094,16.507683,19.88616,19.17293,18.074356,16.979702,16.452847,16.292418,16.704721,19.290434,18.10506,22.481884,17.464321,16.684383,20.232197,19.591164,21.062775,22.526209,19.092388,21.60306,19.914532,23.232725,22.730072,24.834944,24.79254,22.881996,24.406033,24.332779,23.802748,0.8904697,1.8419898,7.662718,0.589036,28.923538,47.842674,24.419971,18.04784,20.661245,18.272558,18.043867,20.113169,23.887299,76.44
4446811.924,659519.7026,56.067757,0.8495197,0.8939904,26.457312,32.029804,29.083616,25.01314,21.700514,48.496784,48.628895,49.726315,55.64252,60.713634,24.816717,23.749092,23.013372,19.436811,18.3453,1.9796937,1.685338,7.095051,8.215286,1379.49,320.7129,-0.080078125,0.61107177,-0.001098633,60,20,0.33757487,0.37583336,0.28639627,0.33612698,0.41153917,1.1840044,1.1917768,16.84904,14.690155,16.019007,18.844868,17.702223,22.328802,19.90078,17.646566,17.35317,19.300968,21.61132,21.103024,19.1515,24.917236,21.191505,20.39865,18.24092,20.112125,16.26,17.728094,16.507683,19.88616,19.17293,18.074356,16.979702,16.452847,16.292418,16.704721,19.290434,18.10506,22.481884,17.464321,16.684383,20.232197,19.591164,21.062775,22.526209,19.092388,21.60306,19.914532,23.232725,22.730072,24.834944,24.79254,22.881996,24.406033,24.332779,23.802748,0.87175506,1.8325158,7.6551685,0.589036,29.243557,48.56284,24.282906,18.04784,20.661245,18.272558,18.043867,20.113169,23.887299,76.44
4446811.924,659524.7026,48.547523,0.8416547,0.8862458,26.275536,31.100983,29.206278,24.90417,21.92893,49.052074,49.240448,50.46714,56.613308,60.950855,24.279224,23.522627,22.304726,18.725111,18.386246,1.945469,1.6904664,7.1117344,8.208146,1379.53,332.1103,0.20019531,0.55133796,0.012207031,60,20,0.33976054,0.36685064,0.28477347,0.33344704,0.39332372,1.1728507,1.1640818,16.825493,15.188822,15.924991,18.436115,16.267076,22.253567,19.065174,17.345497,17.366257,18.23322,22.146666,20.919304,18.003448,24.204515,21.410742,20.027887,17.720257,19.509706,16.544794,16.176464,14.794611,18.26091,20.115425,17.269112,17.410929,18.333134,15.996513,15.756563,18.413725,18.752338,23.188747,17.56475,16.566828,19.077234,19.923124,21.73187,22.153,22.263775,22.101063,20.201138,22.880493,23.932987,25.113462,21.908424,20.741722,21.690716,26.195585,22.941338,0.86395025,1.8179677,7.6599402,0.5792983,28.68826,49.146263,23.900925,17.708746,20.326307,17.58888,18.264566,20.54527,23.209057,76.44
4446811.924,659529.7026,40.75473,0.8394805,0.8817154,26.30185,31.015451,29.250278,25.005493,22.373894,49.45254,49.734375,51.21482,56.582108,61.55481,23.835339,23.373465,22.091497,18.707247,17.365301,1.9251186,1.7026939,7.1026053,8.199785,1379.54,345.5835,0.040527344,0.5175875,0.004516602,60,20,0.33976054,0.36685064,0.28477347,0.33344704,0.39332372,1.1728507,1.1640818,16.849997,15.185361,16.340744,18.885925,17.878132,22.28777,19.352207,17.702206,17.990284,18.68053,21.148155,20.470352,20.68142,23.54919,22.225992,20.16898,18.245342,19.447987,17.638178,15.856382,16.298546,18.169178,17.838224,17.495571,17.44048,18.442902,16.80081,16.088715,19.38786,16.93038,20.626293,17.447525,16.294537,17.97546,20.73284,22.570799,21.28827,19.694859,19.538448,19.766005,23.257755,24.978971,24.979055,20.42694,20.931202,21.079655,24.410368,22.59204,0.86059797,1.8139062,7.6511955,0.5792983,28.65865,49.59346,23.6044,18.111446,20.67799,17.641977,17.959635,19.727888,22.866278,76.44
4446811.924,659534.7026,37.58448,0.83766437,0.8874457,26.533293,31.274977,29.203157,25.267382,22.478245,49.859486,49.7396,51.730465,57.251503,61.61419,23.377365,23.430882,21.461912,17.733362,17.335537,1.9090394,1.7194276,7.097524,8.179224,1379.55,350.5251,0.080566406,0.5225811,0.004516602,60,20,0.33976054,0.36685064,0.28477347,0.33344704,0.39332372,1.1728507,1.1640818,16.849997,15.185361,16.340744,18.885925,17.878132,22.28777,19.352207,17.702206,17.990284,18.68053,21.148155,20.470352,20.68142,23.54919,22.225992,20.16898,18.245342,19.447987,17.638178,15.856382,16.298546,18.169178,17.838224,17.495571,17.44048,18.442902,16.80081,16.088715,19.38786,16.93038,20.626293,17.447525,16.294537,17.97546,20.73284,22.570799,21.28827,19.694859,19.538448,19.766005,23.257755,24.978971,24.979055,20.42694,20.931202,21.079655,24.410368,22.59204,0.862555,1.8142335,7.6383743,0.5792983,28.904135,49.799545,23.404123,18.111446,20.67799,17.641977,17.959635,19.727888,22.866278,76.44
